
"ID_REF"	"GSM878095"	"GSM878096"	"GSM878097"	"GSM878098"	"GSM878099"	"GSM878104"	"GSM878105"	"GSM878106"	"GSM878107"	"GSM878108"
"1552269_at"	11.4	55.7	81.7	14.2	17.4	12	405.4	29.6	160.1	37.3
"1552271_at"	90.9	61.9	37.2	21.4	42.8	115.3	201	72.8	66.7	66.9
"1552272_a_at"	131.2	142	120.7	64.2	150.1	189.7	167	201.4	166.8	110.3
"1552274_at"	2342.7	3287.6	2028.7	2759.5	1461	1996.7	1702.7	1960.7	1964.2	2157.5
"1552275_s_at"	1433.2	3322.5	1668.5	1993.9	1854.8	1202.1	1167.1	1601.5	1637.8	1950.6
"1552276_a_at"	482.1	265	248.2	322.2	412.7	359	206	368.1	349.8	424.4
"1552277_a_at"	3781.8	4140.5	2501.2	3066.8	2873.5	5268.5	6668.8	5381	4275	3767.9
"1552278_a_at"	17	135.8	112.1	76.2	168	83.1	214.3	236.3	137.1	232.7
"1552279_a_at"	447.3	486.1	360.2	428.8	510	518.7	839.4	736	746.2	503.2
"1552280_at"	15.9	10.9	62.9	13.2	61.6	8.2	42	73.7	76.4	22.4
"1552281_at"	354.4	290.9	71.2	77.5	221.9	448.3	360.8	172	1066.2	87.7
"1552283_s_at"	90.1	141.9	91.6	84.4	92.5	88.7	284.1	84.8	89.9	104.3
"1552286_at"	285	432.8	265.4	430.8	254.8	375.4	127.8	285.5	340.7	351.9
"1552287_s_at"	514.3	490.7	305.4	465.2	603.6	372.1	549.3	337.2	320.4	421.4
"1552288_at"	31.2	192.1	44.5	163.8	46.5	924.3	807.7	237.2	27.8	779.8
"1552289_a_at"	364.2	415.3	173.2	409.7	23.2	1743.6	1283	368.3	495.5	1302.9
"1552291_at"	1278.9	862.1	1460.6	1334.6	993.6	1406.4	879.5	955.3	771	851.6
"1552293_at"	25.5	41.3	30.8	16.4	21.3	24	108.9	19.2	26.9	41.5
"1552295_a_at"	2601.6	5580.8	2251.1	2002.5	3658.8	2826.3	3752.8	3931	2698.8	3358.8
"1552296_at"	15	7	62.8	118.4	22.7	126.2	97.7	70.1	32.1	26.2
"1552299_at"	119.8	157	193.4	167.9	26.6	18.7	324.9	142.8	235.4	79.3
"1552301_a_at"	625.7	401.3	377.5	461.1	509.5	691.5	1077.8	537.8	627.7	480.2
"1552302_at"	196.7	163.7	229.5	247.3	275.3	249.8	449.6	168.2	182.6	140.4
"1552303_a_at"	285.7	224.3	320.6	345.2	318.6	357.4	285.2	137.7	331.7	232.2
"1552304_at"	116.3	67.4	47.4	88.5	42.4	125.8	210.3	8.5	84.9	18.7
"1552306_at"	70.8	137.2	87.7	144.7	103.3	104.4	101.5	92.8	316.1	196.3
"1552307_a_at"	761.6	570.2	550.4	614.6	507	1017.3	1097.3	544.2	1287.3	928.5
"1552309_a_at"	3287.6	4457.8	2757.7	4017.5	6445.7	3214.4	1527.9	6247.2	2037.5	4274.4
"1552310_at"	1672.1	888.8	1526	1259	2028	1105.5	676.3	1197.3	908.3	1171.1
"1552311_a_at"	535.1	313.1	286.3	283.8	268.9	482	212.8	506	711.7	603.4
"1552312_a_at"	419	1183	714.8	598.5	1168.5	510.9	762.4	1207.8	733.7	1220
"1552314_a_at"	140.4	148.6	143.3	178.5	163	243.4	210.5	140.5	234.7	216.1
"1552315_at"	78.3	9.9	90.9	77.2	30.7	38.3	328.8	100.1	114.3	146.9
"1552316_a_at"	9.6	13.6	13.1	85.5	9	196	26.7	12	32.1	80.4
"1552318_at"	18	18.5	18.3	58.7	48.3	24	111.1	80.1	127.1	66
"1552319_a_at"	61.4	77	257.7	173.9	171.9	276.1	672.2	176.6	100.3	210.3
"1552320_a_at"	137.8	52.1	5.4	18.5	47.5	10.7	374.1	104.3	94	29.5
"1552321_a_at"	11.6	6	10.3	19.6	6.9	13.5	161.4	5.1	7.5	6.3
"1552322_at"	69.6	76.2	61.2	18.1	6.4	15.3	110.1	48.8	3.5	55
"1552323_s_at"	98.3	154.5	123	187.7	142.4	219.2	148.6	114.2	254.8	135.9
"1552325_at"	10.9	26	5.7	60.2	28.6	84	85.4	77.4	42.2	7.7
"1552326_a_at"	66.8	27.9	19.7	122.7	30.8	179.1	162.3	35.2	63.7	154
"1552327_at"	234.4	68.9	126.7	264.3	278.9	266.5	254.3	121	210.1	148.2
"1552329_at"	463.1	342.1	378.6	406.6	601.4	304.8	444.8	400.8	439.9	453.6
"1552330_at"	879.3	595.1	817.1	597.6	761.4	977.2	615.3	654.7	966.1	571
"1552332_at"	489.2	146.8	888.1	599.7	716.7	270.2	236.8	172	110.7	219.6
"1552334_at"	979.5	608.2	862.4	395.1	790.9	551.1	687.6	466	821.4	496.1
"1552335_at"	287.4	259.8	333.2	103.7	156.6	365.1	409.6	369.4	169.1	28.6
"1552337_s_at"	127.2	22.5	31.1	5.3	140.2	71.1	439.3	69.3	110.7	91.7
"1552338_at"	13.3	8.8	10.5	246.6	7.1	29.9	97	12.3	13.5	10.6
"1552340_at"	20.5	104.8	23.3	10.8	20.4	38.8	142.3	39.5	28.4	31.5
"1552343_s_at"	226.8	196.2	30.5	72.1	81.7	142.3	492.6	121.9	234	173.4
"1552344_s_at"	723.8	994.8	843.7	721.9	617.3	483.3	888.5	937.2	725.6	716.2
"1552347_at"	1718	1115.2	1314.1	1284	1604.4	1577.5	2253.5	1372.8	1857.8	1158.6
"1552348_at"	29.8	120.9	127.4	11.6	227.3	49.3	238	168.6	77.2	45.9
"1552349_a_at"	160.4	152.8	108.4	20	94.8	169	531.1	103.4	156.8	133
"1552354_at"	41.6	54.4	22.5	29.5	30	35.9	222.3	54	53.4	65
"1552355_s_at"	19.6	13.2	20.9	20	18.3	7.9	97.8	28.4	21.1	16
"1552359_at"	106.6	5.9	4.8	47	25.1	11.3	55.9	73.5	21.5	12.5
"1552360_a_at"	357.2	299.6	347.1	404.6	284.4	317.4	313.6	290.6	348	427
"1552362_a_at"	197.5	143.1	72.5	192.2	109.8	201.9	723	155.6	192.2	50.5
"1552364_s_at"	157.8	121.8	144.4	234.8	317.3	222.6	612.3	279.4	92.3	11.5
"1552365_at"	1497.7	61.1	29.2	196	2296	1160.8	426.6	3667.7	159.7	293.4
"1552367_a_at"	620.4	81.5	4.1	10.6	1129.6	534.6	166.2	1405.3	202.2	138.1
"1552368_at"	64.7	77.7	2.6	3.3	59.8	193.9	116	140.3	56.8	101.7
"1552370_at"	287	308.2	529.7	609.2	630.8	297.7	84.2	697.8	294	490.8
"1552372_at"	4	2.6	4.8	3.2	47.6	28.5	186.1	4.6	121.8	7.7
"1552373_s_at"	24.8	14.4	43	3.8	73.3	12	47.8	48.9	14.1	8.5
"1552375_at"	400.5	209.2	274.7	164.7	286.8	341.2	118.1	251.1	367.5	182.8
"1552377_s_at"	681.4	812.4	468.3	317.1	473.1	395.6	609.9	490	353.8	569.9
"1552378_s_at"	59.6	60.6	560.3	278.8	232.6	267.5	87.4	510.2	75.3	294.9
"1552379_at"	4.2	7.8	14.6	5	56.3	4	141.1	4.7	67.6	66.5
"1552381_at"	16.2	55.1	36.2	83.2	23.8	38.9	65.2	18.2	102.7	94.6
"1552383_at"	423.1	218.3	227.7	51.2	221.2	404	283.9	164.5	669.5	406.2
"1552384_a_at"	16.2	15.5	69.9	13.6	15.8	31.1	84.2	53.8	238.7	141.2
"1552386_at"	23.1	32.2	5.8	48	3.7	72.2	229.9	44.2	139.3	9.4
"1552388_at"	959.2	360.6	393.5	2072.8	733.9	41.3	144.6	319.1	118.7	48.9
"1552389_at"	6.4	6.1	9.4	59.2	7.7	87.2	43.5	12.1	82.1	7.3
"1552390_a_at"	10.4	113.6	15.1	105.8	12	28.2	63.7	43.3	88.7	32.5
"1552391_at"	34.8	11.8	103.4	28.2	9	116.4	191.3	97.5	91.1	38.3
"1552393_at"	41	11	62.3	3.2	4	106	39.3	125.5	95.6	22.6
"1552394_a_at"	2.9	11.5	4.3	31.6	61.8	15.6	58	7.4	7.7	11.7
"1552395_at"	63.6	76.4	48.9	17.4	33.7	27.7	110.4	72.9	60.8	36.9
"1552396_at"	21.2	65.4	18.3	61.7	146.8	58.9	210.2	24.4	37.5	30.6
"1552398_a_at"	14.6	36.9	6.4	36.4	8.6	15.8	397.8	111.8	20.8	55.2
"1552399_a_at"	138.9	287.9	10.8	65.5	27.4	134.5	117	117.9	139.8	295.3
"1552400_a_at"	72.3	107.6	96.5	96.8	104.5	196.1	116.1	188.4	142.9	154.9
"1552401_a_at"	60.9	136.5	65.5	49.2	168.4	139.8	638.4	111.4	132.9	84
"1552402_at"	8.7	21.9	15.8	5.8	7.2	41	92	146.9	15.3	24.3
"1552405_at"	24.4	164.7	26	71.6	96.5	305.7	436.7	138.7	202.1	129.4
"1552408_at"	59.5	29.2	50.5	45.8	81	128.3	250.9	12.4	87.7	87.8
"1552409_a_at"	32.9	23.8	38.8	32.4	17.6	31	282.3	38.8	63.5	45.1
"1552410_at"	174.7	219.8	219.3	57.1	163.6	198.4	347	130.8	372	121.5
"1552411_at"	391.1	365.4	330.4	272.1	266.9	261.1	123.8	51.5	338.7	241.7
"1552412_a_at"	5.2	11.7	3.6	4.3	8	171.8	558.4	6.3	7.5	5.9
"1552414_at"	21.4	147.2	62.8	72	30.8	107.5	214.7	123.5	204.7	114.9
"1552415_a_at"	55.3	193.9	121.3	122	108.8	30.2	137	166.5	253.8	245.1
"1552417_a_at"	642.9	1096.2	1076.9	1005.3	1250.1	823.4	718.4	1406.2	1058.3	1141.6
"1552418_at"	9.7	35.2	10.3	34.5	16.9	15.6	98.4	18.8	46.9	10.1
"1552419_s_at"	255	536.3	292.9	359.4	314.2	612.9	799.4	322.5	494	413.8
"1552421_a_at"	22.2	13.4	21.1	16.1	73.4	136.4	58.9	15.7	17.7	13.8
"1552422_at"	128.8	100.3	37.2	68.5	87.3	76	190.6	168.3	213.7	32.5
"1552423_at"	213.5	280.2	176.1	151.9	209.4	310	542	133.1	154.4	162
"1552424_at"	3.1	8.3	7	9.9	7.8	50.3	93.8	7.6	5.6	5.3
"1552425_a_at"	70	117.7	22.1	114.3	154.1	133.5	221.3	61.9	201.8	175.3
"1552426_a_at"	3781.2	4043.3	5514.9	5468.1	4463.4	5167.6	3575.7	4602.4	4569	4642.8
"1552427_at"	116.7	65.5	109.1	94	212.9	151.6	335.1	126.8	111.1	59.4
"1552430_at"	44.4	41.3	4.7	44.7	101.7	94.9	354.2	67.3	73.6	3.9
"1552432_at"	14.5	51.8	21.4	22.5	19.4	27.5	98.7	38.3	71.6	42.6
"1552436_a_at"	30	21	11.4	15.2	15	35.5	70.4	31.2	10.9	34.3
"1552438_a_at"	78.3	77.8	36.3	99.4	42.5	70.9	156.6	18.4	204.7	60.1
"1552439_s_at"	9.5	7.2	2.1	8.9	11.3	10.3	82.3	4.7	7.8	2.9
"1552440_at"	56.1	12.8	84.3	96.8	19.6	109.2	100.4	38.3	132.3	87.1
"1552445_a_at"	5.8	18	10.2	60.6	13.9	26.1	34.8	113.3	75.3	93.2
"1552448_a_at"	12.2	5.6	41.3	21.8	29.6	32.5	33	142.1	34.5	50.2
"1552449_a_at"	10.8	15.4	13.8	6.4	79.8	183.7	102.4	165.3	9.7	12.3
"1552450_a_at"	75.4	102.4	86.7	185.5	101.4	131.9	495.4	124.5	46.8	14.8
"1552452_at"	4.6	6.5	8.4	87.5	17.7	10.3	48.1	124.6	12.3	15.7
"1552453_a_at"	3.8	15	5	23.5	11	5.5	49.1	3.4	15.4	8.5
"1552455_at"	198.5	123.8	104.6	370.2	54.1	123.8	154	146.2	70.3	105.7
"1552456_a_at"	25.6	26.2	18.5	25.2	93.8	15	62.8	36	16.7	123.1
"1552457_a_at"	612.9	470.3	732.3	1421.7	408.1	355.3	480.4	258.8	148	585.2
"1552458_at"	35.3	93.3	42	89.2	114.4	6.2	222.2	39.4	94.3	216.6
"1552459_a_at"	14.4	21.9	25.1	25.3	14	21	92	27.3	34.3	24.9
"1552461_at"	18	52.2	30.7	67.6	13	178.6	202.8	5.3	84.4	62.8
"1552463_at"	100.4	89.4	82.4	69	63.1	91.1	301.9	26.3	210.7	135.2
"1552466_x_at"	12	10.3	44.1	10.5	6.9	20.8	170.9	5.9	160	5.1
"1552467_at"	51.7	88.9	27	41.9	117.9	80.1	272.8	39.2	365	98.6
"1552468_a_at"	131	73.2	63.4	130.5	29	50.4	147.1	304.1	109.1	63.6
"1552470_a_at"	102.8	140.2	159.3	117.2	116.9	68.7	55.7	103.1	75.9	15.3
"1552472_a_at"	586.5	1104.4	612	434.1	710.9	620.9	406.6	1039.1	937.4	815.9
"1552473_at"	811.3	389.9	398	314.4	438.9	565	1864.5	568.3	1108.7	684.2
"1552474_a_at"	1381.3	955.2	862.5	1003.5	940.5	1794.2	1297.6	2058.1	1998.9	1661.1
"1552476_s_at"	648.9	668.7	535.8	540.9	389.7	882.8	1491.5	963.8	946.1	869.8
"1552477_a_at"	27.1	106	93.7	54.3	81.1	47.2	178.3	25	60.6	56.4
"1552478_a_at"	39.5	45	11.4	2.1	13.4	25.9	97.2	45.4	9.9	129.7
"1552480_s_at"	2.8	31.6	44.5	36.1	30.1	3.6	18.1	78	8.7	19.1
"1552481_s_at"	92.8	202.4	249.1	111.3	429.9	136.6	43	140.8	173.5	208
"1552482_at"	1500.2	370.1	809	778	221.4	604.5	204.1	363.5	403.2	509.5
"1552484_at"	204.2	261.2	99.9	75.4	46.7	71.9	307.2	246.1	85.4	122.5
"1552485_at"	1891.8	3600	1399.5	1784.6	4608.7	879.5	816.5	2174.8	1123.2	1522
"1552486_s_at"	1474.4	1839.7	1456.2	1436.9	2307.4	1859.4	1435.1	2503.6	1899.6	1845.8
"1552487_a_at"	238.6	440.6	323.5	94.5	347.3	351.1	22.5	124.7	150.3	89.6
"1552489_s_at"	218.3	153.5	83.7	128	201.4	126.4	387.8	164.3	132.9	142.9
"1552490_at"	118.7	88.2	64.4	142.4	136.6	198.5	62.9	171.3	5.8	152.6
"1552491_at"	122.5	33.2	21.1	74.7	23.1	25.9	353.8	16.5	45.7	28.5
"1552493_s_at"	41	42.5	22.7	28.6	28.3	15.4	136	28.8	37.4	137.6
"1552494_at"	53.1	62.3	26.3	14	47.3	11.5	210	24.9	18.2	31.5
"1552496_a_at"	21.2	7	3.4	4.7	45.5	5.6	100.7	8.9	8.5	10.9
"1552497_a_at"	293	208.7	172.1	205	122.5	241.9	529.5	205.8	305.4	139.1
"1552498_at"	100.8	222.1	207.8	81	111.2	225.8	171.1	230.1	314.8	231.3
"1552499_a_at"	83.6	141.2	89	79.5	87.1	111.6	54.6	55.6	205	167.4
"1552501_a_at"	40.2	117.1	136.2	98.1	50.3	132.8	164.7	134.7	86.5	49.5
"1552502_s_at"	327	317.3	341.9	138	377.2	355.9	104.8	217.4	393.8	320
"1552503_at"	74.4	180.1	93.8	79.4	133.9	17.2	345.8	89.7	187.7	171.5
"1552504_a_at"	171.2	347.3	37.3	178.3	188	958	640.1	390.1	773.5	542
"1552506_at"	58.5	50.5	16.3	80	18.3	16.3	150.6	28.3	62.3	17.8
"1552507_at"	966.7	851.1	754.4	897.8	1682.1	1887.7	953.7	1063.5	1698.6	1609.5
"1552508_at"	1003.7	506	949.7	1071.1	2073.1	2378.2	1024.2	1126.5	1655.2	1815.9
"1552509_a_at"	55.1	120.6	38.5	52.4	161	46.5	337.3	91.8	77.9	67.8
"1552510_at"	916.7	1252.7	464.7	401.3	315.1	600	1169.9	721.2	768.9	929.8
"1552511_a_at"	5.8	3.5	7.6	10.7	4.2	6.2	75.8	10.8	83.8	9.2
"1552514_at"	6.2	47	5.1	6.8	3.2	15.7	164.2	51.8	38	112.2
"1552515_at"	21.9	49.7	93.3	7.9	11.6	151.1	472.6	31.7	77.1	85.1
"1552516_a_at"	557	440.3	396.1	363.7	197.9	440.7	593	539.3	594.5	726.6
"1552518_s_at"	75.1	141.4	73.7	48.3	118.1	8	104.1	15	146.1	9.9
"1552519_at"	324	159.3	169.7	194	260.2	130.8	321.1	235.5	278.2	143.7
"1552520_at"	45.7	67.6	57.5	97.6	112.2	81.6	12.9	75.9	54.9	75.5
"1552521_a_at"	16.7	4.2	1.5	36.7	5.4	3.8	50.3	45.6	3.5	3.5
"1552522_at"	81.6	8.3	56.3	3.1	21.1	61.2	75.8	132	42.5	1.5
"1552523_a_at"	12.1	68.4	52.2	92.5	82.8	174.1	76.1	19.4	55.9	8.2
"1552524_at"	33.9	50.6	27.7	40.9	43.2	62.8	275.7	41.2	63.9	40.5
"1552526_at"	5.7	20.8	24.1	11.1	6.4	22.3	79	21.4	50.5	35.4
"1552528_at"	14.3	39.1	42.1	9.4	36.2	51.8	416.1	235	38	34
"1552531_a_at"	19.9	11.1	11	12.3	16.9	7	85.5	35.7	64	7.6
"1552532_a_at"	52.3	2.5	6.2	26.5	18.6	12.2	309.4	5.2	29.4	2.3
"1552535_at"	126.1	180	141.1	15.8	171.6	117.3	141.5	92.4	331.9	169.8
"1552536_at"	174.6	190.2	105.9	169.9	51.6	133.9	515	69.1	113.1	119.4
"1552538_a_at"	10.3	19.5	14.3	11.1	36.6	20	313.1	20.7	78.7	8.7
"1552540_s_at"	152.4	198.1	160.7	170.6	226.7	293.5	808.9	21.7	310	232.2
"1552541_at"	201.5	394.2	136	114.7	304.5	325.3	556	377.1	451.9	530.8
"1552542_s_at"	46.6	21.2	17.7	20.1	4.5	33.9	55	14.3	88	90.8
"1552543_a_at"	97.6	45.5	79.1	27.9	89	163.4	432.8	28.2	152.5	15.8
"1552544_at"	111.6	92.3	83.8	179.3	140.1	59.6	794.4	113.2	151	89.1
"1552546_a_at"	69.6	245.9	144.6	111.7	181.2	220.5	61.8	162.1	219.6	155.5
"1552548_at"	91	61.8	152.4	72.7	117.2	78.9	146.6	123.5	158.4	72.4
"1552549_a_at"	114.6	139.8	155.6	118.6	162.4	49.6	242.1	106.6	105.4	88.6
"1552552_s_at"	74.2	6.1	64.1	88.8	74.8	8.4	51.4	103.7	31.1	80.2
"1552553_a_at"	87.1	12.1	8.2	9.3	60.8	111.7	340.4	20	5	5.1
"1552554_a_at"	13.3	17	8.6	5.1	83.6	16	296.3	75	119.1	4.1
"1552555_at"	214.7	341	121.7	71.4	133.7	317.4	930.1	298.1	365.2	589.8
"1552557_a_at"	129.5	149.2	104.4	170.3	19.5	90.2	266.9	58.3	213.8	74.2
"1552558_a_at"	505.5	483.5	271.5	324.1	91.4	531.3	1384.6	485.3	534.4	400.9
"1552559_a_at"	23.3	78.1	43.5	14.9	22.1	50.1	204.6	140	34.3	89.1
"1552562_at"	255.3	214.5	168.5	162.7	151.5	219.9	377.4	226	137.2	158.9
"1552563_a_at"	4.7	15.6	5.6	15.1	9	90.7	62.3	3.2	11.6	11.5
"1552564_at"	79.2	13.1	24.6	64.2	5.7	161.6	281.6	46.3	128.2	77.2
"1552566_at"	9.2	6.4	3.4	3.5	5.2	6.3	85	14	13.7	37.9
"1552568_at"	10.2	93.5	80.6	115.3	178.4	143.1	444.3	153.8	174.9	101.2
"1552569_a_at"	23.5	44.9	17.1	18.7	13.4	102.6	159.6	38.1	45.7	191.4
"1552570_at"	128.1	85.6	79.2	79.3	13.5	47.6	266.9	132.9	31.7	91.7
"1552572_a_at"	85	50.6	80.2	73.8	70.2	39.5	27.9	16.4	182.3	81.6
"1552573_s_at"	242.8	135.4	63.1	148.1	174	116.2	89.4	141.5	237.1	134.6
"1552575_a_at"	201.7	58.3	11.2	8.5	23	21.3	106.4	17	12.4	17
"1552576_at"	87	155.1	84.9	119	97.8	44.2	177.9	229.5	116.1	70.6
"1552578_a_at"	6.8	68.1	2.2	23.5	12	84.8	101.8	3.9	19.1	3.6
"1552579_a_at"	71.5	23.5	68.3	11.3	20	33.8	71.9	11.1	9.6	10.2
"1552580_at"	8.4	6.7	47.5	58.3	20.3	28.6	60	6.5	11.4	13
"1552582_at"	45.9	54.3	66.7	43.6	147.6	78.1	380.3	35.6	109.8	40.9
"1552583_s_at"	54	20.6	13.8	59.4	5.7	63.4	101.3	131.7	67.9	48.9
"1552584_at"	73.6	175.8	147.5	49	128.9	214.1	106.2	86.2	185.6	18.5
"1552585_s_at"	73.9	100.8	136.6	47.4	14.7	26.8	361.9	152.7	33.5	58.1
"1552586_at"	162.1	79.4	177.4	123.5	92.6	140.7	163.9	125.4	94.5	74.8
"1552587_at"	80.5	117	41.2	35.7	2.7	144.4	612.7	124.5	11.7	98.7
"1552588_a_at"	5.8	36.8	17.3	48.2	80.4	16.1	59.1	10.1	20.1	3.1
"1552590_a_at"	74.6	38.9	6	52.3	122.1	6.5	108.2	71	12.4	48.1
"1552592_at"	4.1	32.6	9.6	81.5	24	16.1	59.3	12.1	4.4	45.2
"1552594_at"	131.7	261.6	44.1	66.2	85.3	184.4	171.1	30.9	30	35.7
"1552596_at"	43.4	156.7	52.2	42	22.7	280	514.4	56.8	89.3	313.4
"1552598_at"	91.9	154.5	54.3	27.2	38.8	17.5	525.2	20.4	59	29.4
"1552599_at"	54.6	67.3	11.6	69.8	92	93.7	78.1	16	75.7	93.8
"1552602_at"	98.8	374.9	138.1	210.5	107.8	125.3	531.7	310.3	446.4	234.8
"1552604_at"	11.5	14.4	57.2	7.6	100.5	211.6	354.7	93.2	94	128.7
"1552605_s_at"	26.7	71.3	5.5	55.9	61.5	12.4	54.5	55.6	49.9	10.8
"1552607_at"	156.5	161.7	183.2	37.1	30.5	217.1	318.5	35.7	197.7	125.3
"1552608_at"	14.6	39.8	10	57.7	112.7	25	380.9	43.9	4.2	18.6
"1552609_s_at"	116.9	108	49	26.2	127.3	90.1	407.8	12.1	270.1	190.4
"1552610_a_at"	4238.4	5878.5	4068.9	4949.3	4616.2	2902.7	2119.3	4935.4	4018.6	3888.3
"1552611_a_at"	966.1	1273.9	925.4	984.3	1169	797.2	1282.8	1593.6	1409.4	1456
"1552612_at"	326.2	411.3	291.5	235.4	637.5	232.3	447	591.7	325.6	419
"1552613_s_at"	472.7	550	269.5	280.1	620.5	236.5	251.4	283	288.3	540.3
"1552615_at"	588.2	671.9	638	894	769.1	596.4	5543.1	557.5	685.6	406.8
"1552616_a_at"	17.3	104.7	48.2	29.2	7.1	66.4	121.7	96.2	43.8	24.2
"1552617_a_at"	2209.3	3097.8	2342.6	1828.8	2026.1	1754.3	2198.6	2069.9	1760.2	2086.4
"1552618_at"	865.5	1314	1230.3	1510	1681	1757	1363.7	2209.9	1855	1940.1
"1552619_a_at"	2378.2	4939.9	2265.2	1963.5	4525.3	490.2	371.6	2562	1665.2	1861.7
"1552620_at"	504.3	668.1	518.1	604.6	451	509.2	762.4	642.7	354.2	653.3
"1552621_at"	1533.8	1889.6	649.6	888.7	909.4	771.7	1194.9	1559.7	1454.3	751.7
"1552622_s_at"	966	638.8	237.4	518.2	505	380.1	552.5	764.1	800.3	411.1
"1552623_at"	8.7	14.1	9.8	13.2	7.8	11.9	230.5	6.2	20.2	15.4
"1552625_a_at"	726.3	997.5	1034.7	918	1409.7	503.2	467.6	922.2	718.9	673.1
"1552626_a_at"	148.5	132.4	98	145.6	41.8	226.2	361	58.1	99.8	61.4
"1552627_a_at"	843.4	1286	806.9	688.5	818.6	657.9	708.2	1451.2	1310.6	1523.7
"1552628_a_at"	4232.3	3150.1	4537.9	4673.8	2316.4	3410.9	3285.4	2496.5	3144.9	2485.4
"1552629_a_at"	10.8	4.9	13	10.1	81.2	94.5	140.5	151.4	37.7	11.8
"1552630_a_at"	278	135.4	84.4	135.3	36.4	149.9	153.1	452.7	201.9	165.7
"1552631_a_at"	310.8	325.2	226.1	260.6	105.9	424.1	299.3	489.6	371.3	434.8
"1552632_a_at"	428.3	214.1	497.7	333.5	423.7	674.4	855.6	670.2	328.1	582.9
"1552633_at"	104.7	103.4	211.3	183.5	94.5	101.1	292.1	141.9	144.3	95.2
"1552634_a_at"	288.3	93	186.4	126.4	150.6	144	289.4	61.7	100.1	170.4
"1552637_at"	36.3	64.6	11.2	82.7	72.4	186.4	96.4	79.9	13.7	65.8
"1552639_at"	27.6	37	33.2	125.9	57.1	167.6	147.7	18.9	101.2	33.6
"1552641_s_at"	700.9	855.7	593.4	529.3	694.5	526.3	227.8	1015.3	568.9	483
"1552643_at"	788.1	882.1	1090.9	781.7	1108.9	1212.5	1761.2	1230.4	1622.7	1581.7
"1552644_a_at"	156.6	192.3	242.9	196.1	256.3	152.8	271.8	343.9	171.6	142.2
"1552646_at"	644.1	561.4	421.6	461.5	350.2	689	1230.6	577.8	813.2	410.7
"1552648_a_at"	154.7	26.3	141.1	237.5	127.1	179	129.5	435.9	408.9	163.5
"1552649_a_at"	41	117.1	197.5	15.5	117.4	131	54.9	233.5	119.9	197.3
"1552651_a_at"	195.5	380.2	299.9	283.1	242.1	330.2	361.8	443.9	410.2	256.4
"1552652_at"	267.9	323	305.8	223.7	470.7	498.9	920.9	305.2	380.1	383.3
"1552656_s_at"	369.2	749.2	444.5	254.5	308.6	321.2	347.7	722.7	482.9	527.3
"1552657_a_at"	65.6	12.1	56.1	15	244.1	15.4	67.6	56.1	48.4	105.3
"1552658_a_at"	2870.7	2493.2	1830.8	3131.6	3596.9	3147.6	2226.6	4754.3	2515	4054.1
"1552660_a_at"	978.2	1185.3	1173.2	730.8	2522.9	1020.1	557.1	1626.9	1535.8	1514.8
"1552661_at"	1.7	17.8	26.2	0.8	21.7	4.9	25	27.3	2.3	15.2
"1552662_a_at"	201.7	424.7	121.7	77.3	180.7	162.3	63.6	453.5	529.7	278
"1552663_a_at"	1549.6	1629	900.8	713.5	949.7	709.1	816	1400.9	1115.8	1728.3
"1552664_at"	740.8	579.7	894.9	690.1	553.3	1065.4	749.9	658	972.8	602.3
